player,attack angle,body direction,bat direction,hand speed,hinge angle,bat speed,velocity vector2,velocity vector,vertical bat angle,body rotation rate,bat rotation rate,x_knob,y_knob,z_knob,x_barrel,y_barrel,z_barrel
Player 1,-0.46833494,-1.6848276,4.1429095,0.392207,-0.8872632,0.55565417,"[-0.2062994, 0.46846518, -0.25894523]","[-0.23007804, 0.30070135, -0.10231875]",0.8136391,0.3807096,-0.71079975,0.6502041,-0.8214695,0.73808396,0.62502146,-0.45596588,1.1257546
Player 1,-0.4811354,-1.6840494,4.1435466,0.39520988,-0.88867813,0.5510448,"[-0.19489242, 0.46400326, -0.26273525]","[-0.23367006, 0.29926842, -0.10967026]",0.8128044,0.39672476,-0.69786876,0.64974517,-0.82087046,0.73787314,0.62464035,-0.45503724,1.1252378
Player 1,-0.49454552,-1.6832412,4.144117,0.3977169,-0.8900566,0.54469115,"[-0.18053009, 0.45874384, -0.2658393]","[-0.23689115, 0.29735148, -0.11680504]",0.81199247,0.4130838,-0.6843277,0.64928013,-0.82027483,0.737648,0.6242884,-0.4541188,1.1247149
Player 1,-0.5074584,-1.6824005,4.144624,0.4008004,-0.891405,0.53915346,"[-0.1685433, 0.45324582, -0.26887703]","[-0.24100405, 0.29531235, -0.12388962]",0.8112033,0.4304566,-0.6730156,0.6488073,-0.8196832,0.73740864,0.6239608,-0.45321122,1.1241857
Player 1,-0.5193853,-1.6815228,4.1450796,0.40508512,-0.8927378,0.5356328,"[-0.1614657, 0.44797987, -0.27225983]","[-0.24656186, 0.29346856, -0.13106264]",0.8104355,0.44910935,-0.66505843,0.6483238,-0.8190955,0.7371549,0.6236478,-0.45231444,1.1236498
Player 1,-0.5305777,-1.6806058,4.145487,0.41034716,-0.8940623,0.5331072,"[-0.15700208, 0.44291744, -0.27569938]","[-0.2530271, 0.29195055, -0.13830025]",0.809689,0.4688428,-0.6593135,0.6478277,-0.8185112,0.7368868,0.6233441,-0.45142815,1.1231072
Player 1,-0.5418669,-1.6796484,4.1458445,0.41630155,-0.89537704,0.530878,"[-0.15203442, 0.43830985, -0.27927133]","[-0.25975332, 0.29087132, -0.14570199]",0.80896395,0.48914436,-0.65261257,0.6473186,-0.81792945,0.7366041,0.6230508,-0.45055157,1.1225576
Player 1,-0.553998,-1.6786498,4.146148,0.4229474,-0.8966794,0.529154,"[-0.14545873, 0.43443796, -0.28341597]","[-0.26657814, 0.29026094, -0.1535226]",0.8082594,0.5094864,-0.64114404,0.6467966,-0.8173493,0.7363061,0.6227713,-0.4496831,1.1220001
Player 1,-0.56678563,-1.6776097,4.146387,0.42976785,-0.8979587,0.5258842,"[-0.13619465, 0.4297996, -0.286948]","[-0.2732648, 0.28966454, -0.16162057]",0.80758023,0.52972245,-0.62303126,0.64626175,-0.8167706,0.73599243,0.62251097,-0.44882417,1.1214361
Player 1,-0.579418,-1.6765299,4.14654,0.43585747,-0.89919144,0.51756597,"[-0.12294734, 0.42189446, -0.2875444]","[-0.2794572, 0.28838164, -0.16944447]",0.8069408,0.5502216,-0.59975946,0.6457151,-0.81619465,0.7356637,0.62227774,-0.4479812,1.1208717
Player 1,-0.5916671,-1.6754105,4.1465907,0.44147456,-0.9003613,0.5051929,"[-0.10773245, 0.41098455, -0.28550115]","[-0.28558728, 0.28641218, -0.17693993]",0.80635357,0.5716388,-0.5752753,0.6451568,-0.8156227,0.73532045,0.6220754,-0.44716012,1.1203116
Player 1,-0.60424894,-1.674248,4.1465445,0.4480478,-0.9014775,0.49417052,"[-0.09494717, 0.40032247, -0.2840469]","[-0.2926605, 0.28453523, -0.18476029]",0.80581695,0.5945988,-0.55405605,0.6445848,-0.8150545,0.73496175,0.621899,-0.44636044,1.1197547
Player 1,-0.61782813,-1.6730366,4.146416,0.45626542,-0.90256095,0.4874356,"[-0.08590604, 0.3919938, -0.28517553]","[-0.30091178, 0.2832823, -0.1933426]",0.80532104,0.61927533,-0.5382117,0.6439966,-0.8144888,0.73458606,0.6217411,-0.44557747,1.1191958
Player 1,-0.63225245,-1.6717731,4.146216,0.46555054,-0.9036239,0.48342288,"[-0.07871849, 0.3852306, -0.28804013]","[-0.30976203, 0.28247032, -0.20247295]",0.8048594,0.64495087,-0.5248286,0.64339095,-0.81392497,0.7341923,0.62159777,-0.44480816,1.1186315
Player 1,-0.64698374,-1.6704564,4.145942,0.47507256,-0.904667,0.4792019,"[-0.07187791, 0.37811393, -0.29076374]","[-0.3187264, 0.28159526, -0.21168739]",0.80443317,0.6703266,-0.50761175,0.6427674,-0.8133629,0.7337803,0.6214681,-0.44405314,1.1180618
Player 1,-0.6618416,-1.6690884,4.1455836,0.48389885,-0.9056761,0.4715572,"[-0.06310835, 0.3685487, -0.2913005]","[-0.32719257, 0.28012493, -0.22052924]",0.80405205,0.6945248,-0.48207775,0.6421269,-0.8128037,0.7333509,0.62135595,-0.44331723,1.1174914
Player 1,-0.67731404,-1.6676741,4.145115,0.49125454,-0.90662175,0.45860568,"[-0.04870242, 0.3554379, -0.28852427]","[-0.3342702, 0.27786574, -0.22887789]",0.8037313,0.717695,-0.44838476,0.64147216,-0.8122491,0.7329051,0.62127244,-0.44260758,1.1169268
Player 1,-0.6937201,-1.6662169,4.1445165,0.4977537,-0.90748054,0.44287652,"[-0.02885495, 0.34021166, -0.28393906]","[-0.34003717, 0.27533713, -0.23732458]",0.80348116,0.74085957,-0.4106105,0.6408058,-0.81169987,0.7324431,0.6212286,-0.44192863,1.1163722
Player 1,-0.7108706,-1.6647148,4.143788,0.5050771,-0.9082541,0.4283562,"[-0.00940502, 0.32498842, -0.27994636]","[-0.34592748, 0.2731789, -0.24659754]",0.8033029,0.76536596,-0.3746989,0.6401277,-0.8111554,0.7319635,0.6212236,-0.44128063,1.1158266
Player 1,-0.7293156,-1.6631615,4.1429415,0.51412433,-0.90896106,0.4157627,"[0.00472215, 0.31018424, -0.27723935]","[-0.35312846, 0.2714121, -0.25682595]",0.8031946,0.792011,-0.34452385,0.6394353,-0.8106149,0.7314643,0.62124693,-0.44066262,1.1152873
Player 1,-0.7499927,-1.6615511,4.141989,0.5246393,-0.9096194,0.40501493,"[0.01431455, 0.29603592, -0.2761042]","[-0.36139753, 0.2698814, -0.26795942]",0.8031527,0.8203348,-0.31804952,0.6387263,-0.8100775,0.73094356,0.6212894,-0.44007292,1.114751
Player 1,-0.7727564,-1.6598809,4.1409364,0.535913,-0.91023666,0.39660302,"[0.02379923, 0.28297657, -0.27688497]","[-0.36962187, 0.26858628, -0.2800782]",0.80317205,0.84903,-0.28884262,0.6380008,-0.80954266,0.7303993,0.6213507,-0.4395093,1.114214
Player 1,-0.7961936,-1.6581521,4.1397696,0.5467996,-0.9107985,0.3878024,"[0.0376796, 0.26879597, -0.27734852]","[-0.37679058, 0.267051, -0.29274976]",0.80325747,0.8771782,-0.2520039,0.63726085,-0.8090109,0.7298305,0.6214397,-0.438974,1.1136768
Player 1,-0.8181944,-1.6563692,4.13846,0.5563614,-0.91127175,0.37503767,"[0.05799153, 0.25031382, -0.27437514]","[-0.38258323, 0.26455823, -0.30524904]",0.8034267,0.9050139,-0.20814168,0.63650954,-0.8084842,0.72923756,0.62156945,-0.4384757,1.1131465
Player 1,-0.8364665,-1.6545336,4.136988,0.5653075,-0.9116354,0.360625,"[0.08220553, 0.22861266, -0.2691162]","[-0.38769624, 0.26132542, -0.31776282]",0.8036921,0.9337135,-0.16273026,0.6357483,-0.807964,0.72862035,0.621748,-0.43802074,1.1126276
